customer_id,orders,revenue,profit,last_order,at_risk
13737,5,1978.5,912.5,2024-11-28,False
12316,6,1880.8,785.8,2024-11-28,False
11413,6,1790.0,829.0,2024-12-02,False
10050,5,1753.5,763.5,2023-12-25,True
15083,8,1740.6,822.6,2024-11-11,False
10179,4,1733.0,789.0,2024-12-21,False
11422,8,1714.25,800.25,2024-07-08,True
11931,7,1696.85,749.85,2024-10-25,False
10819,7,1674.75,786.75,2024-09-23,True
12664,6,1612.45,695.45,2024-10-04,False
11018,8,1611.2,713.2,2024-09-30,True
12502,5,1600.5,696.5,2024-09-22,True
17547,5,1557.5,684.5,2024-11-06,False
13125,7,1524.25,715.25,2024-08-27,True
10230,6,1489.4,646.4,2024-08-06,True
13064,4,1459.25,670.25,2024-11-08,False
10526,7,1407.7,575.6999999999999,2024-07-24,True
12087,6,1400.05,646.05,2024-10-04,False
11766,4,1386.5,633.5,2024-12-19,False
15190,3,1385.1,586.1,2024-12-15,False
16760,4,1366.5,533.5,2024-12-29,False
15634,3,1363.0,613.0,2023-09-18,True
11650,4,1358.6,636.6,2024-12-12,False
10592,2,1358.0,583.0,2024-07-25,True
13328,2,1344.0,569.0,2024-01-26,True
13287,3,1339.0,561.0,2024-09-30,True
15450,5,1326.4,618.4,2024-12-05,False
11653,2,1314.8,577.8,2024-08-04,True
14055,3,1307.0,567.0,2023-09-29,True
15373,3,1302.9,598.9,2024-05-18,True
10178,5,1296.0,598.0,2024-11-18,False
13453,2,1280.0,558.0,2024-08-28,True
10778,5,1278.6,591.6,2024-10-13,False
13284,5,1275.15,627.15,2024-11-17,False
12603,6,1263.5,547.5,2024-12-06,False
13574,5,1262.4,555.4,2024-12-14,False
10010,5,1255.3,510.3,2024-10-24,False
10696,6,1254.5,587.5,2024-10-14,False
10811,9,1254.0,629.0,2024-06-14,True
12933,5,1253.25,540.25,2024-08-23,True
10065,6,1252.75,590.75,2024-12-27,False
12529,3,1243.75,537.75,2024-09-08,True
14312,5,1239.3,573.3,2024-12-03,False
10439,4,1238.05,556.05,2024-10-27,False
15112,3,1237.0,538.0,2024-04-27,True
13349,3,1231.5,529.5,2024-10-05,False
10638,7,1226.15,585.15,2024-09-23,True
15730,7,1225.25,569.25,2024-09-01,True
10066,4,1225.2,580.2,2024-06-03,True
16583,4,1223.1,492.1,2024-12-29,False
13498,6,1218.1,539.1,2024-08-08,True
13318,5,1216.1,553.1,2024-08-11,True
10798,5,1212.0,525.0,2024-12-01,False
13840,7,1209.95,590.95,2024-12-12,False
14852,2,1208.0,549.0,2024-08-25,True
10542,3,1194.2,489.2,2024-10-13,False
10435,5,1192.75,551.75,2024-08-09,True
15675,3,1178.0,541.0,2024-09-26,True
10640,7,1173.25,581.25,2024-11-10,False
15617,3,1171.3,520.3,2023-10-27,True
13061,6,1170.25,544.25,2023-10-10,True
10593,4,1154.5,480.5,2024-01-15,True
10494,6,1153.8,537.8,2024-08-03,True
11404,6,1153.0,586.0,2024-11-29,False
14404,7,1148.6,559.6,2024-10-28,False
11328,9,1142.85,521.85,2024-10-08,False
10768,6,1142.0,546.0,2024-06-27,True
10923,6,1135.5,526.5,2024-11-03,False
12150,4,1133.0,513.0,2024-08-24,True
15735,2,1127.0,481.0,2024-10-15,False
11114,4,1123.0,530.0,2024-03-22,True
11814,6,1122.05,573.05,2024-12-04,False
17930,1,1120.0,500.0,2023-08-23,True
11762,1,1120.0,500.0,2023-07-30,True
16563,1,1120.0,500.0,2023-08-15,True
14380,4,1116.0,534.0,2024-08-31,True
15623,4,1115.75,510.75,2024-12-29,False
11373,5,1115.0,486.0,2024-07-17,True
14319,5,1112.95,528.95,2024-08-13,True
12112,5,1105.1,546.1,2024-12-29,False
14543,7,1104.65,429.65,2024-07-21,True
16296,5,1103.2,517.2,2024-10-23,False
11165,6,1097.75,517.75,2024-11-06,False
11547,5,1088.35,506.35,2024-09-22,True
11088,4,1086.9,497.9,2024-12-20,False
13739,2,1086.5,463.5,2024-06-23,True
11145,3,1083.0,457.0,2024-07-27,True
10239,5,1081.2,493.2,2024-11-05,False
11000,6,1079.0,539.0,2024-03-03,True
10206,4,1077.9,488.9,2024-07-06,True
12056,5,1075.85,495.85,2024-08-27,True
13447,2,1070.0,422.0,2024-11-01,False
10372,7,1069.9,526.9,2024-11-20,False
12996,3,1068.0,481.0,2024-08-28,True
14900,5,1065.8,513.8,2024-09-25,True
13885,3,1064.2,481.2,2024-11-18,False
10425,4,1064.0,543.0,2024-04-03,True
10537,8,1061.75,507.75,2024-09-21,True
12088,2,1059.0,436.0,2024-09-15,True
11509,8,1058.45,508.45,2024-04-15,True
