order_id,customer_id,order_date,product_id,quantity,discount_pct,sales,cost,status
510056,14466,2023-01-01,10,1,0.15,93.5,54,Completed
510213,13792,2023-01-01,1,1,0.0,145.0,79,Cancelled
515097,10127,2023-01-01,3,1,0.05,45.6,21,Completed
517006,13321,2023-01-01,6,3,0.1,94.5,39,Completed
517256,15530,2023-01-01,8,1,0.0,88.0,39,Completed
510063,12248,2023-01-01,5,1,0.15,80.75,43,Completed
502392,18181,2023-01-01,9,1,0.0,62.0,28,Completed
516356,10120,2023-01-01,1,1,0.05,137.75,79,Completed
502885,16233,2023-01-01,2,1,0.15,61.2,34,Returned
512350,13061,2023-01-01,1,1,0.0,145.0,79,Completed
502626,16686,2023-01-01,8,1,0.0,88.0,39,Completed
501281,15625,2023-01-01,6,1,0.0,35.0,13,Completed
509459,17353,2023-01-01,10,1,0.2,88.0,54,Completed
513591,10315,2023-01-01,9,2,0.15,105.4,56,Returned
508844,12982,2023-01-02,1,1,0.0,145.0,79,Completed
502075,12556,2023-01-02,1,1,0.0,145.0,79,Completed
507523,17089,2023-01-02,2,2,0.0,144.0,68,Completed
515142,14299,2023-01-02,3,1,0.1,43.2,21,Completed
508005,11491,2023-01-02,2,1,0.1,64.8,34,Completed
500366,11745,2023-01-02,7,2,0.0,54.0,16,Completed
507905,13454,2023-01-02,1,2,0.1,261.0,158,Completed
509762,12549,2023-01-02,3,1,0.1,43.2,21,Completed
515343,13776,2023-01-02,3,2,0.15,81.6,42,Completed
514959,12955,2023-01-02,2,1,0.0,72.0,34,Completed
504182,11425,2023-01-02,6,2,0.0,70.0,26,Completed
509261,13583,2023-01-02,2,1,0.0,72.0,34,Completed
503148,10045,2023-01-02,6,3,0.0,105.0,39,Completed
514139,10765,2023-01-02,5,3,0.1,256.5,129,Completed
503974,11322,2023-01-02,7,1,0.05,25.65,8,Completed
500247,14101,2023-01-03,5,2,0.2,152.0,86,Completed
511572,11738,2023-01-03,1,1,0.05,137.75,79,Completed
514212,10811,2023-01-03,7,3,0.0,81.0,24,Completed
516660,10262,2023-01-03,9,2,0.0,124.0,56,Completed
513957,10632,2023-01-03,10,2,0.0,220.0,108,Completed
503888,15429,2023-01-03,1,3,0.1,391.5,237,Completed
503666,13788,2023-01-03,7,1,0.0,27.0,8,Completed
504005,11947,2023-01-03,1,2,0.1,261.0,158,Completed
507958,12130,2023-01-03,8,1,0.1,79.2,39,Completed
503820,11031,2023-01-03,3,1,0.1,43.2,21,Completed
513237,12461,2023-01-03,3,4,0.05,182.4,84,Completed
508772,11288,2023-01-04,3,2,0.05,91.2,42,Completed
505170,10267,2023-01-04,10,1,0.0,110.0,54,Completed
515415,14236,2023-01-04,9,1,0.05,58.9,28,Completed
517291,16815,2023-01-04,4,1,0.0,280.0,155,Completed
500747,12104,2023-01-04,2,1,0.0,72.0,34,Completed
